,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,hobart,40,AU,1578386329,63,-42.88,147.33,66.2,11.41
279,provideniya,82,RU,1578386617,92,64.42,-173.23,-11.4,0.74
280,solnechnyy,0,RU,1578386617,83,50.72,136.64,2.88,1.81
281,veseloyarsk,96,RU,1578386617,86,51.29,81.11,11.48,4.36
282,lompoc,1,US,1578386506,75,34.64,-120.46,60.01,2.91
283,kasongo-lunda,100,CD,1578386618,60,-6.48,16.82,82.62,3.29
284,epernay,100,FR,1578386618,92,45.45,5.88,41.0,2.15
285,saint-augustin,20,CA,1578386618,79,45.63,-73.98,26.01,16.11
286,guacui,52,BR,1578386618,93,-20.78,-41.68,71.1,4.41
287,nargana,2,PA,1578386619,77,9.44,-78.59,80.13,15.43
288,aleksandrov gay,87,RU,1578386619,88,56.4,38.71,25.0,6.08
289,ibaiti,38,BR,1578386619,99,-23.85,-50.19,70.0,1.99
290,oksfjord,75,NO,1578386619,75,70.24,22.35,41.0,17.22
291,kirkcudbright,100,GB,1578386619,83,54.84,-4.04,48.99,15.99
292,salta,90,AR,1578386620,82,-24.79,-65.41,69.8,3.36
293,dunedin,3,NZ,1578386620,75,-45.87,170.5,52.45,19.84
294,grindavik,90,IS,1578386620,100,63.84,-22.43,35.6,20.8
295,ebbs,75,AT,1578386621,74,47.63,12.22,39.99,6.93
296,hauterive,90,CA,1578386621,85,49.18,-68.27,17.6,5.82
297,aklavik,5,CA,1578386621,65,68.22,-135.01,-34.6,2.24
298,kloulklubed,90,PW,1578386622,83,7.04,134.26,82.4,8.05
299,karratha,49,AU,1578386622,70,-20.74,116.85,86.68,14.67
300,mtwara,32,TZ,1578386622,58,-10.28,40.18,88.68,8.61
301,ninghai,40,CN,1578386622,77,29.29,121.42,60.8,13.42
302,ulaangom,81,MN,1578386622,96,49.98,92.07,-9.58,1.45
303,abdulino,100,RU,1578386623,96,53.68,53.66,23.56,6.91
304,sarangani,100,PH,1578386623,80,5.4,125.46,81.03,25.55
305,magadan,0,RU,1578386623,72,59.56,150.8,2.43,9.64
306,noumea,93,NC,1578386624,69,-22.28,166.46,82.0,13.87
307,tautira,20,PF,1578386624,78,-17.73,-149.15,82.4,2.24
308,ponta delgada,73,BR,1578386624,83,-0.53,-65.05,74.75,0.78
309,monrovia,40,LR,1578386624,88,6.33,-10.8,71.6,4.7
310,mandalgovi,0,MN,1578386625,72,45.76,106.27,6.08,1.39
311,cabo san lucas,77,ES,1578386625,37,43.18,-5.8,48.0,8.05
312,panguna,100,PG,1578386625,97,-6.32,155.48,74.26,3.36
313,haileybury,90,CA,1578386625,78,47.44,-79.64,12.2,3.36
314,vilhena,100,BR,1578386351,96,-12.74,-60.15,70.47,3.78
315,binzhou,100,CN,1578386626,99,37.38,117.96,30.99,1.01
316,shishou,2,CN,1578386626,64,29.72,112.42,49.68,4.63
317,beloha,0,MG,1578386626,29,-25.17,45.06,98.56,3.78
318,rudnogorsk,98,RU,1578386626,96,57.27,103.75,16.03,5.23
319,faya,0,SA,1578386627,34,18.39,42.45,68.0,17.22
320,pringsewu,96,ID,1578386627,83,-5.36,104.98,80.58,3.27
321,dustlik,100,UZ,1578386627,46,40.53,68.03,41.25,3.74
322,baghmara,13,IN,1578386627,37,23.8,86.21,71.82,7.99
323,austin,1,US,1578386628,49,30.27,-97.74,53.01,10.29
324,hofn,100,IS,1578386628,86,64.25,-15.21,45.68,27.81
325,rincon,0,PA,1578386628,71,8.46,-82.28,69.31,4.05
326,caernarfon,100,GB,1578386628,93,53.14,-4.27,52.0,26.4
327,maputo,40,MZ,1578386628,62,-25.97,32.57,86.0,3.36
328,pitimbu,75,BR,1578386629,80,-7.47,-34.81,77.0,3.36
329,okhotsk,0,RU,1578386629,75,59.36,143.24,-9.94,8.28
330,jaltepec,0,MX,1578386629,63,20.11,-98.42,43.83,4.34
331,karlstad,75,SE,1578386629,100,59.38,13.5,41.0,9.17
332,bedesa,43,ET,1578386629,59,8.9,40.78,69.93,6.78
333,puerto madryn,72,AR,1578386589,76,-51.62,-69.23,51.8,1.12
334,caravelas,43,BR,1578386630,93,-17.73,-39.27,74.16,8.93
335,platteville,75,US,1578386630,86,42.73,-90.48,33.01,5.82
336,belmonte,91,PT,1578386631,84,40.36,-7.35,45.0,2.42
337,tamazunchale,54,MX,1578386631,90,21.26,-98.79,53.64,3.56
338,teya,75,MX,1578386631,73,21.05,-89.07,70.0,6.93
339,hondo,1,US,1578386632,35,29.35,-99.14,55.4,12.75
340,bandundu,100,CD,1578386632,54,-3.32,17.38,88.81,2.44
341,darhan,0,MN,1578386632,86,49.49,105.92,-1.25,3.11
342,fallon,90,US,1578386632,80,46.84,-105.12,34.0,8.05
343,djenne,33,ML,1578386632,17,13.91,-4.55,70.27,11.14
344,kumbo,90,CM,1578386633,29,6.21,10.69,76.95,5.59
345,bundaberg,0,AU,1578386633,61,-24.87,152.35,80.6,10.29
346,korhogo,92,CI,1578386633,18,9.46,-5.63,75.92,5.35
347,san carlos de bariloche,27,ML,1578386633,17,13.3,-4.9,70.29,9.57
348,eyl,63,SO,1578386634,80,7.98,49.82,79.83,20.76
349,new plymouth,40,LR,1578386634,88,6.65,-10.59,71.6,4.7
350,coquimbo,0,CL,1578386634,72,-29.95,-71.34,60.8,5.82
351,ambulu,100,ID,1578386634,80,-8.35,113.61,82.35,13.56
352,zambezi,94,ZM,1578386634,76,-13.55,23.12,75.69,6.42
353,dubrovnik,0,HR,1578386635,18,42.65,18.09,50.0,2.24
354,lazaro cardenas,5,MX,1578386635,87,29.05,-111.04,55.99,1.36
355,merauke,100,ID,1578386635,80,-8.49,140.4,81.52,2.55
356,kruisfontein,100,ZA,1578386635,80,-34.0,24.73,71.42,6.91
357,racale,5,IT,1578386546,56,39.96,18.09,48.0,20.8
358,sehithwa,20,BW,1578386636,47,-20.47,22.7,85.26,6.33
359,willowick,40,US,1578386636,74,41.63,-81.47,32.0,3.36
360,crab hill,1,US,1578386636,93,37.27,-76.49,37.99,4.5
361,syrskoye,75,RU,1578386636,73,52.57,39.53,26.6,4.47
362,paamiut,87,GL,1578386637,75,61.99,-49.67,5.81,13.73
363,khor,69,RU,1578386637,89,47.88,134.96,0.84,2.59
364,boyolangu,100,ID,1578386637,85,-8.09,111.9,79.95,8.08
365,adrar,0,DZ,1578386637,56,27.87,-0.29,41.0,12.75
366,saint-georges,72,CA,1578386637,8,46.12,-70.67,19.0,2.82
367,pacific grove,90,US,1578386638,93,47.26,-122.25,51.01,5.82
368,lichinga,98,MZ,1578386638,86,-13.3,35.25,75.43,5.44
369,sabha,0,LY,1578386638,53,27.03,14.43,47.73,11.72
370,sierra vista,85,CO,1578386638,85,5.15,-74.99,61.47,4.27
371,maues,74,BR,1578386639,98,-3.38,-57.72,72.5,2.62
372,alyangula,40,AU,1578386639,66,-13.85,136.42,87.8,14.99
373,kiama,100,AU,1578386639,78,-34.67,150.86,75.2,10.29
374,craig,90,US,1578386346,79,40.52,-107.55,28.4,6.93
375,padang,85,ID,1578386639,78,-0.92,100.36,78.75,2.19
376,gambela,75,ET,1578386639,23,8.25,34.59,99.57,3.27
377,yermish,99,RU,1578386640,91,54.77,42.27,23.22,5.14
378,jalu,10,LY,1578386640,54,29.03,21.55,56.53,12.57
379,biankouma,14,CI,1578386640,21,7.74,-7.61,80.33,0.67
380,kaeo,37,NZ,1578386640,70,-35.1,173.78,61.0,5.01
381,morgan city,90,US,1578386640,55,41.04,-111.68,37.99,9.17
382,sao felipe,2,IN,1578386589,38,20.51,76.21,84.04,9.6
383,nabire,100,ID,1578386641,96,-3.36,135.5,75.36,2.57
384,anito,97,PH,1578386641,80,12.45,125.29,81.39,18.97
385,gaoual,21,GN,1578386641,19,11.75,-13.2,73.2,1.7
386,kamenka,0,MD,1578386641,90,48.03,28.7,21.99,3.96
387,nuuk,100,GL,1578386381,77,64.17,-51.74,5.0,18.34
